,Animal Name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Order,Superorder,Suborder,Infraorder,Family,Superfamily,Subfamily,Genus,Subgenus,Tribe,Clade
0,Arctic Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
1,Arctic Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Vulpes,,,
2,Pink Fairy Armadillo,Animalia,Chordata,Vertebrata,Mammalia,,,Cingulata,,,,Chlamyphoridae,,Chlamyphorinae,Chlamyphorus,,,
3,Sumatran Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
4,Ermine,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
5,Sunda Flying Lemur,Animalia,Chordata,Vertebrata,Mammalia,,,Dermoptera,,,,Cynocephalidae,,,Galeopterus,,,
6,Ring-Tailed Lemur,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Strepsirrhini,,Lemuridae,,,Lemur,,,
7,Domestic Pig,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Suidae,,,Sus,,,
8,Grey Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
9,American Red Squirrel,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,,Tamiasciurus,,,
10,Arabian Oryx,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Hippotraginae,Oryx,,,
11,Mexican Gray Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
12,Highland Cattle,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Bovinae,Bos,,,
13,Borneo Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
14,Urial,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Caprinae,Ovis,,,
15,Quokka,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Diprotodontia,,,,Macropodidae,,Macropodinae,Setonix,,,
16,Fennec Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Vulpes,,,
17,Asian Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
18,Lowland Streaked Tenrec,Animalia,Chordata,Vertebrata,Mammalia,,,Afrosoricida,,,,Tenrecidae,,,Hemicentetes,,,
19,Brown Hyena,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Hyaenidae,,,Hyaena,,,
20,Patagonian Mara,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Caviidae,,,Dolichotis,,,
21,Sea Mink,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,Mustelinae,Neovison,,,
22,Blackbuck,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Antilopinae,Antilope,,,
23,Tufted Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Elaphodus,,,
24,Golden Snub-Nosed Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Rhinopithecus,,,
25,White Rhinoceros,Animalia,Chordata,Vertebrata,Mammalia,,,Perissodactyla,,,,Rhinocerotidae,,,Ceratotherium,,,
26,African Bush Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Loxodonta,,,
27,Indian Flying Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Chiroptera,,,,Pteropodidae,,,Pteropus,,,
28,Sika Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Cervus,,,
29,Red Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Cervus,,,
30,African Golden Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
31,Lion-Tailed Macaque,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
32,Long-Tailed Macaque,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
33,Dusky Leaf Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Trachypithecus,,,
34,Black-Headed Spider Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
35,Gray Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Urocyon,,,
36,Indian Gray Mongoose,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Herpestidae,,Herpestinae,Herpestes,,,
37,Antilopine Kangaroo,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,Osphranter,,
38,Japanese Macaque,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
39,Red Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Vulpes,,,
40,Bush Dog,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Speothos,,,
41,Arctic Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
42,Arctic Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Vulpes,,,
43,Pink Fairy Armadillo,Animalia,Chordata,Vertebrata,Mammalia,,,Cingulata,,,,Chlamyphoridae,,Chlamyphorinae,Chlamyphorus,,,
44,Sumatran Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
45,Ermine,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
46,Sunda Flying Lemur,Animalia,Chordata,Vertebrata,Mammalia,,,Dermoptera,,,,Cynocephalidae,,,Galeopterus,,,
47,Ring-Tailed Lemur,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Strepsirrhini,,Lemuridae,,,Lemur,,,
48,Domestic Pig,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Suidae,,,Sus,,,
49,Grey Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
50,American Red Squirrel,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,,Tamiasciurus,,,
51,Arabian Oryx,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Hippotraginae,Oryx,,,
52,Mexican Gray Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
53,Highland Cattle,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Bovinae,Bos,,,
54,Borneo Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
55,Urial,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Caprinae,Ovis,,,
56,Quokka,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Diprotodontia,,,,Macropodidae,,Macropodinae,Setonix,,,
57,Fennec Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Vulpes,,,
58,Asian Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
59,Lowland Streaked Tenrec,Animalia,Chordata,Vertebrata,Mammalia,,,Afrosoricida,,,,Tenrecidae,,,Hemicentetes,,,
60,Brown Hyena,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Hyaenidae,,,Hyaena,,,
61,Patagonian Mara,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Caviidae,,,Dolichotis,,,
62,Sea Mink,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,Mustelinae,Neovison,,,
63,Blackbuck,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Antilopinae,Antilope,,,
64,Tufted Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Elaphodus,,,
65,Golden Snub-Nosed Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Rhinopithecus,,,
66,White Rhinoceros,Animalia,Chordata,Vertebrata,Mammalia,,,Perissodactyla,,,,Rhinocerotidae,,,Ceratotherium,,,
67,African Bush Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Loxodonta,,,
68,Indian Flying Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Chiroptera,,,,Pteropodidae,,,Pteropus,,,
69,Sika Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Cervus,,,
70,Red Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Cervus,,,
71,African Golden Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
72,Lion-Tailed Macaque,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
73,Long-Tailed Macaque,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
74,Dusky Leaf Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Trachypithecus,,,
75,Black-Headed Spider Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
76,Gray Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Urocyon,,,
77,Indian Gray Mongoose,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Herpestidae,,Herpestinae,Herpestes,,,
78,Antilopine Kangaroo,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,Osphranter,,
79,Japanese Macaque,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
80,Red Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Vulpes,,,
81,Bush Dog,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Speothos,,,
82,Ocelot,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,Felinae,Leopardus,,,
83,Wild Boar,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Suidae,,,Sus,,,
84,Desert Hedgehog,Animalia,Chordata,Vertebrata,Mammalia,,,Eulipotyphla,,,,Erinaceidae,,,Paraechinus,,,
85,Douglas Squirrel,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,,Tamiasciurus,,,
86,Long-Eared Jerboa,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Dipodidae,,Euchoreutinae,Euchoreutes,,,
87,Emperor Tamarin,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,,,Callitrichidae,,,Saguinus,,,
88,Proboscis Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Nasalis,,,
89,Dromedary Camel,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Camelidae,,,Camelus,,,
90,Kodkod,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,Felinae,Leopardus,,,
91,Star-Nosed Mole,Animalia,Chordata,Vertebrata,Mammalia,,,Eulipotyphla,,,,Talpidae,,Scalopinae,Condylura,,Condylurini,
92,Spectacled Flying Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Chiroptera,,,,Pteropodidae,,,Pteropus,,,
93,Virginia Opossum,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Didelphimorphia,,,,Didelphidae,,,Didelphis,,,
94,Iberian Lynx,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Lynx,,,
95,Brush Rabbit,Animalia,Chordata,Vertebrata,Mammalia,,,Lagomorpha,,,,Leporidae,,,Sylvilagus,,,
96,Japanese Dwarf Flying Squirrel,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,,Pteromys,,Pteromyini,
97,Giant Panda,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Ursidae,,,Ailuropoda,,,
98,Margay,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,Felinae,Leopardus,,,
99,American Mink,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,Mustelinae,Neovison,,,
100,Cotton-Top Tamarin,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,,,Callitrichidae,,,Saguinus,,,
101,Spotted Hyena,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Hyaenidae,,,Crocuta,,,
102,Andean Mountain Cat,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,Felinae,Leopardus,,,
103,Long-Eared Hedgehog,Animalia,Chordata,Vertebrata,Mammalia,,,Eulipotyphla,,,,Erinaceidae,,,Hemiechinus,,,
104,Tree Pangolin,Animalia,Chordata,Vertebrata,Mammalia,,,Pholidota,,,,Manidae,,,Phataginus,,,
105,Northwestern Wolf,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Canis,,,
106,Red Squirrel,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,,Sciurus,,,
107,Green Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Chlorocebus,,,
108,Red Panda,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Ailuridae,,,Ailurus,,,
109,White-Tailed Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Capreolinae,Odocoileus,,,
110,Least Weasel,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
111,Collared Pika,Animalia,Chordata,Vertebrata,Mammalia,,,Lagomorpha,,,,Ochotonidae,,,Ochotona,,,
112,African Lion,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Panthera,,,
113,Llama,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Camelidae,,,Lama,,,
114,Jaguarundi,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Puma,,,
115,Dhole,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,,Cuon,,,
116,Chinese Pangolin,Animalia,Chordata,Vertebrata,Mammalia,,,Pholidota,,,,Manidae,,,Manis,,,
117,Bobcat,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Lynx,,,
118,Cheetah,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Acinonyx,,,
119,Giraffe,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Giraffidae,,,Giraffa,,,
120,Indian Pangolin,Animalia,Chordata,Vertebrata,Mammalia,,,Pholidota,,,,Manidae,,,Manis,,,
121,Brown Rat,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Muridae,Muroidea,,Rattus,,,
122,Ground Pangolin,Animalia,Chordata,Vertebrata,Mammalia,,,Pholidota,,,,Manidae,,,Smutsia,,,
123,Southern Pudu,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Capreolinae,Pudu,,,
124,Oncilla,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,Felinae,Leopardus,,,
125,Pine Marten,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,,Martes,,,
126,Spider Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
127,Eastern Gray Squirrel,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,,Sciurus,,,
128,Irrawaddy Dolphin,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,Cetacea,Delphinidae,,,Orcaella,,,
129,Bushy-Tailed Woodrat,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Cricetidae,,,	Neotoma,,,
130,Fossa,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Eupleridae,,,Cryptoprocta,,,
131,Finless Porpoise,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,Cetacea,Phocoenidae,,,Neophocaena,,,
132,Vicuna,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Camelidae,,,Vicugna,,,
133,Sand Cat,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Felis,,,
134,Brown-Throated Three-Toed Sloth,Animalia,Chordata,Vertebrata,Mammalia,,,Pilosa,,,,Bradypodidae,,,Bradypus,,,
135,Siberian Musk Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Moschidae,,,Moschus,,,
136,Western Gray Squirrel,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,,Sciurus,Hesperosciurus,,
137,Woylie,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Diprotodontia,,,,Potoroidae,,,Bettongia,,,
138,Guanaco,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Camelidae,,,Lama,,,
139,Fallow Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Dama,,Cervini,
140,Axis Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Axis,,,
141,Rusty-Spotted Cat,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Prionailurus,,,
142,Little Brown Bat,Animalia,Chordata,Vertebrata,Mammalia,,,Chiroptera,,,,Vespertilionidae,,Myotinae,Myotis,,,
143,Eastern Chipmunk,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,Xerinae,Tamias,,Marmotini,
144,Red-Necked Wallaby,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,Notamacropus,,
145,Leopard,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Panthera,,,
146,Sri Lankan Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
147,Lesser Hedgehog Tenrec,Animalia,Chordata,Vertebrata,Mammalia,,,Afrosoricida,,,,Tenrecidae,,,Echinops,,,
148,Indian Elephant,Animalia,Chordata,Vertebrata,Mammalia,,,Proboscidea,,,,Elephantidae,,,Elephas,,,
149,Addax,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Hippotraginae,Addax,,,
150,Red Brocket,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Capreolinae,Mazama,,,
151,Numbat,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Dasyuromorphia,,,,Myrmecobiidae,,,Myrmecobius,,,
152,Alpine Marmot,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,,Marmota,,,
153,Wildcat,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Felis,,,
154,American Marten,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,,Martes,,,
155,Sambar,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Rusa,,,
156,Giant Pangolin,Animalia,Chordata,Vertebrata,Mammalia,,,Pholidota,,,,Manidae,,,Smutsia,,,
157,Least Chipmunk,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,Xerinae,Tamias,,Marmotini,
158,Donkey,Animalia,Chordata,Vertebrata,Mammalia,,,Perissodactyla,,,,Equidae,,,Equus,,,
159,White-Headed Capuchin,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,,,Cebidae,,,Cebus,,,
160,Egyptian Mongoose,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Herpestidae,,Herpestinae,Herpestes,,,
161,Springbok,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Antilopinae,Antidorcas,,Antilopini,
162,Eastern Fox Squirrel,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,,Sciurus,,,
163,Tiger,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Panthera,,,
164,African Civet,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,,,Viverridae,,Viverrinae,Civettictis,,,
165,Malayan Tapir,Animalia,Chordata,Vertebrata,Mammalia,,,Perissodactyla,,,,Tapiridae,,,Tapirus,,,
166,Vaquita,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,Cetacea,Phocoenidae,,,Phocoena,,,
167,Beech Marten,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,,Martes,,,
168,Giant Golden-Crowned Flying Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Chiroptera,,,,Pteropodidae,,,Acerodon,,,
169,Round-Tailed Ground Squirrel,Animalia,Chordata,Vertebrata,Mammalia,,,Rodentia,,,,Sciuridae,,Xerinae,Xerospermophilus,,Marmotini,
170,Pale-Throated Three-Toed Sloth,Animalia,Chordata,Vertebrata,Mammalia,,,Pilosa,,,,Bradypodidae,,,Bradypus,,,
171,Asiatic Black Bear,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Ursidae,,,Ursus,,,
172,Hog Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Hyelaphus,,,
173,Water Deer,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,Hydropotinae,Hydropotes,,,
174,Golden Bamboo Lemur,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Strepsirrhini,,Lemuridae,,,Hapalemur,,,
175,Eurasian Lynx,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Lynx,,,
176,Black-Footed Cat,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Felis,,,
177,Honey Badger,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,Mellivorinae,Mellivora,,,
178,Giant Armadillo,Animalia,Chordata,Vertebrata,Mammalia,,,Cingulata,,,,Chlamyphoridae,,Tolypeutinae,,,,
179,Common Genet,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,,,Viverridae,,Viverrinae,Genetta,,,
180,Western Gorilla,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Hominidae,,,Gorilla,,,
181,Canadian Lynx,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Lynx,,,
182,Swamp Wallaby,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Diprotodontia,,,,Macropodidae,,Macropodinae,Wallabia,,,
183,Asian Lion,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Panthera,,,
184,Hector's Dolphin,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,Cetacea,Delphinidae,,,Cephalorhynchus,,,
185,Antelope Jackrabbit,Animalia,Chordata,Vertebrata,Mammalia,,,Lagomorpha,,,,Leporidae,,,Lepus,,,
186,European Polecat,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
187,Sugar Glider,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Diprotodontia,,,,Petauridae,,,Petaurus,,,
188,White-Cheeked Spider Monkey,Animalia,Chordata,Vertebrata,Mammalia,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
189,Crab-Eating Fox,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Canidae,,Caninae,Cerdocyon,,,
190,Meerkat,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Herpestidae,,,Suricata,,,
191,American Black Bear,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Ursidae,,,Ursus,,,
192,Barasingha,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,Ruminantia,,Cervidae,,,Rucervus,,,
193,Gerenuk,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Antilopinae,Litocranius,,Antilopini,
194,Olinguito,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Procyonidae,,,Bassaricyon,,,
195,Cougar,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Felidae,,,Puma,,,
196,Visayan Warty Pig,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Suidae,,,Sus,,,
197,Tiger Quoll,Animalia,Chordata,Vertebrata,Mammalia,,Marsupialia,Dasyuromorphia,,,,Dasyuridae,,,Dasyurus,,,
198,Mouflon,Animalia,Chordata,Vertebrata,Mammalia,,,Artiodactyla,,,,Bovidae,,Caprinae,Ovis,,,
199,Striped Hyena,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Hyaenidae,,,Hyaena,,,
200,Small Asian Mongoose,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Feliformia,,Herpestidae,,Herpestinae,Herpestes,,,
201,White-Nosed Coati,Animalia,Chordata,Vertebrata,Mammalia,,,Carnivora,,Caniformia,,Procyonidae,,,Nasua,,,
